,Mouse ID,Drug,Timepoint,Tumor Volume (mm3),Metastatic Sites
0,f234,Stelasyn,0,45.0,0
1,f234,Stelasyn,5,47.3134906249,0
2,f234,Stelasyn,10,47.90432375140001,0
3,f234,Stelasyn,15,48.7351971444,1
4,f234,Stelasyn,20,51.11271292560001,2
5,f234,Stelasyn,25,52.178602209,2
6,f234,Stelasyn,30,56.873816543100006,2
7,f234,Stelasyn,35,57.748758312,2
8,x402,Stelasyn,0,45.0,0
9,x402,Stelasyn,5,46.327570271099994,1
10,x402,Stelasyn,10,46.886962488100004,1
11,x402,Stelasyn,15,49.1199478021,1
12,x402,Stelasyn,20,50.4147504143,2
13,x402,Stelasyn,25,52.4317366358,2
14,x402,Stelasyn,30,54.3515846335,3
15,x402,Stelasyn,35,55.2409622264,3
16,x402,Stelasyn,40,56.6917229436,3
17,x402,Stelasyn,45,61.6196061525,3
18,a492,Stelasyn,0,45.0,0
19,a492,Stelasyn,5,46.40914338899999,0
20,a492,Stelasyn,10,48.432196607600005,0
21,a492,Stelasyn,15,51.9852629008,0
22,a492,Stelasyn,20,53.677192528199996,0
23,a492,Stelasyn,25,54.70122868399999,1
24,a492,Stelasyn,30,56.201041043500005,1
25,a492,Stelasyn,35,57.3085537947,1
26,a492,Stelasyn,40,57.9284989721,1
27,a492,Stelasyn,45,60.1220105157,1
28,w540,Stelasyn,0,45.0,0
29,w540,Stelasyn,5,45.8853703831,1
30,w540,Stelasyn,10,47.4590665763,1
31,w540,Stelasyn,15,48.2501463553,2
32,w540,Stelasyn,20,50.6727274492,2
33,w540,Stelasyn,25,52.600269551800004,2
34,v764,Stelasyn,0,45.0,0
35,v764,Stelasyn,5,47.0541847448,0
36,v764,Stelasyn,10,48.1890006167,1
37,v764,Stelasyn,15,49.4126241794,2
38,o848,Stelasyn,0,45.0,0
39,z314,Stelasyn,0,45.0,0
40,z314,Stelasyn,5,45.934712167,0
41,g989,Stelasyn,0,45.0,0
42,g989,Stelasyn,0,45.0,0
43,g989,Stelasyn,5,48.786801463500005,0
44,g989,Stelasyn,5,47.5703920761,0
45,g989,Stelasyn,10,51.7451561314,0
46,g989,Stelasyn,10,49.8805278017,0
47,g989,Stelasyn,15,51.3258520692,1
48,g989,Stelasyn,15,53.442019761000005,0
49,g989,Stelasyn,20,55.3261220232,1
